"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что курьер может принять заказ, возвращается {'ok': true}","243","Успешное принятие заказа курьером","tests","2026-07-01","passed","2026-07-01","TestOrderAccept","test_order_accept","",""
"Проверка, что курьера можно удалить по id, возвращается {'ok': true}","344","Успешное удаление курьера","tests","2026-07-01","passed","2026-07-01","TestCourierDelete","test_courier_delete","",""
"Проверка, что запрос возвращает список заказов","12434","Получение списка заказов","tests","2026-07-01","passed","2026-07-01","TestOrderList","test_order_list","",""
"Проверка, что можно указать BLACK, GREY, оба цвета или не указывать цвет","89","Создание заказа с разными вариантами цвета","tests","2026-07-01","passed","2026-07-01","TestOrderCreate","test_order_create","",""
"Проверка, что при неверном пароле возвращается ошибка 404","127","Логин курьера с неправильным паролем","tests","2026-07-01","passed","2026-07-01","TestCourierLogin","test_courier_login","",""
"Проверяем, что при логине несуществующего курьера возвращается ошибка 404","70","Логин несуществующего пользователя","tests","2026-07-01","passed","2026-07-01","TestCourierLogin","test_courier_login","",""
"Проверка, что запрос с неверным id возвращает ошибку","167","Удаление курьера с несуществующим id","tests","2026-07-01","passed","2026-07-01","TestCourierDelete","test_courier_delete","",""
"Проверка, что можно указать BLACK, GREY, оба цвета или не указывать цвет","102","Создание заказа с разными вариантами цвета","tests","2026-07-01","passed","2026-07-01","TestOrderCreate","test_order_create","",""
"Проверка, что без поля password возвращается ошибка 400","114","Логин курьера без поля password","tests","2026-07-01","passed","2026-07-01","TestCourierLogin","test_courier_login","",""
"Проверка, что при неверном логине возвращается ошибка 404","125","Логин курьера с неправильным логином","tests","2026-07-01","passed","2026-07-01","TestCourierLogin","test_courier_login","",""
"Проверка, что можно указать BLACK, GREY, оба цвета или не указывать цвет","107","Создание заказа с разными вариантами цвета","tests","2026-07-01","passed","2026-07-01","TestOrderCreate","test_order_create","",""
"Проверка, что запрос без track возвращает ошибку","92","Получение заказа без номера трека","tests","2026-07-01","passed","2026-07-01","TestOrderGet","test_order_get","",""
"Проверка, что запрос с неверным track возвращает ошибку","154","Получение заказа с несуществующим треком","tests","2026-07-01","passed","2026-07-01","TestOrderGet","test_order_get","",""
"Проверка, что запрос на удаление без id возвращает ошибку","74","Удаление курьера без id","tests","2026-07-01","failed","2026-07-01","TestCourierDelete","test_courier_delete","",""
"Проверка, что при создании с уже существующим логином возвращается ошибка 409","262","Создание курьера с уже существующим логином","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверка, что запрос с несуществующим orderId возвращает ошибку","134","Принятие заказа с неверным id заказа","tests","2026-07-01","passed","2026-07-01","TestOrderAccept","test_order_accept","",""
"Проверка, что по track можно получить данные заказа","105","Успешное получение заказа по треку","tests","2026-07-01","passed","2026-07-01","TestOrderGet","test_order_get","",""
"Проверка, что нельзя создать двух курьеров с одинаковыми данными","244","Создание двух одинаковых курьеров","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверка, что курьер может авторизоваться с правильными логином и паролем","89","Успешный логин курьера","tests","2026-07-01","passed","2026-07-01","TestCourierLogin","test_courier_login","",""
"Проверка, что firstName — необязательное поле, создание проходит успешно","127","Создание курьера без поля firstName","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверка, что запрос с несуществующим courierId возвращает ошибку","245","Принятие заказа с неверным id курьера","tests","2026-07-01","passed","2026-07-01","TestOrderAccept","test_order_accept","",""
"Проверка, что запрос без courierId возвращает ошибку","213","Принятие заказа без id курьера","tests","2026-07-01","passed","2026-07-01","TestOrderAccept","test_order_accept","",""
"Проверяем, что с пустым логином возвращается ошибка 400","82","Создание курьера с пустым логином","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверка, что можно указать BLACK, GREY, оба цвета или не указывать цвет","108","Создание заказа с разными вариантами цвета","tests","2026-07-01","passed","2026-07-01","TestOrderCreate","test_order_create","",""
"Проверка, что с пустым паролем возвращается ошибка 400","110","Создание курьера с пустым паролем","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверяем, что без поля login возвращается ошибка 400","131","Создание курьера без поля login","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверка, что без поля login возвращается ошибка 400","67","Логин курьера без поля login","tests","2026-07-01","passed","2026-07-01","TestCourierLogin","test_courier_login","",""
"Проверка, что без поля password возвращается ошибка 400","127","Создание курьера без поля password","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверка, что курьера можно создать с корректными данными","220","Успешное создание курьера","tests","2026-07-01","passed","2026-07-01","TestCourierCreate","test_courier_create","",""
"Проверка, что при успешной авторизации в ответе возвращается id курьера","74","Успешный логин возвращает id курьера","tests","2026-07-01","passed","2026-07-01","TestCourierLogin","test_courier_login","",""
"Проверка, что запрос без orderId возвращает ошибку","87","Принятие заказа без id заказа","tests","2026-07-01","failed","2026-07-01","TestOrderAccept","test_order_accept","",""
